model,variant,train_score,val_score,test_score
Logistic Regression,Raw,0.7216915633069388,0.6995109217256316,0.6900490847819121
Logistic Regression,Class Weighted,0.7218117343649719,0.699272138,0.6900113375362023
Logistic Regression,Oversampled,0.7218404330128687,0.6993841278529889,0.690176743
Logistic Regression,Undersampled,0.721839954,0.6996254819590624,0.6904000073305522
Decision Tree,Raw,0.711248974,0.6851020403858566,0.6849207239717598
Decision Tree,Class Weighted,0.7112952264115987,0.683996382,0.6852820673564923
Decision Tree,Oversampled,0.7111938244467062,0.6838142290609264,0.6859756573651579
Decision Tree,Undersampled,0.7108756333088933,0.6839927250817052,0.6837473288955642
Random Forest,Raw,0.9947549868542895,0.7086340669121427,0.7104072849566506
Random Forest,Class Weighted,0.9974994109998151,0.7062409796922348,0.7061126071117845
Random Forest,Oversampled,0.9991673830208367,0.7068388857439861,0.7070875805366279
Random Forest,Undersampled,0.9479450657649964,0.7070495828895192,0.7061701420365438
XGBoost,Raw,0.7432841814138944,0.7170983498073338,0.7168050882005752
XGBoost,Class Weighted,0.7432841814138944,0.7170983498073338,0.7168050882005752
XGBoost,Oversampled,0.7429847285073946,0.7160288025930679,0.7151182192286478
XGBoost,Undersampled,0.7425777681786112,0.716929092,0.7168590014381849
LGBM,Raw,0.7325750120507741,0.7092112130689457,0.7072681099101471
LGBM,Class Weighted,0.7326434396163978,0.7090800303944187,0.7074739303551252
LGBM,Oversampled,0.7324194074705807,0.7089147248562876,0.707457668
LGBM,Undersampled,0.7324656948843291,0.7090033662448321,0.7075928017256505
SGD,Raw,0.719178873,0.6958424848804527,0.6818065083163893
SGB,Class Weighted,0.7178553232010065,0.6947089853012366,0.6828568476097613
SGD,Oversampled,0.720278729,0.6976073670853449,0.6898800433381016
SGD,Undersampled,0.7190705259117826,0.6965431910932716,0.6859252467194279
Naive Bayes,Raw,0.7005049679664765,0.6823644210873496,0.6720194746204599
Naive Bayes,Oversampled,0.7004785936916564,0.682301666,0.6719184615856159
Naive Bayes,Undersampled,0.7004156769033848,0.6824943639150821,0.6722108464273263
