model,variant,train_score,val_score,test_score
Logistic Regression,Raw,0.18563376379055133,0.25054945054945055,0.26843303663837714
Logistic Regression,Class Weighted,0.4421385213638735,0.501239224,0.49623034393623894
Logistic Regression,Oversampled,0.4422274043148329,0.5014867537639761,0.49657472830960153
Logistic Regression,Undersampled,0.42667971918214126,0.48576866586131073,0.487697853
Decision Tree,Raw,0.076979284,0.072238588,0.07612964
Decision Tree,Class Weighted,0.43274830279855087,0.4890538885486834,0.4883058032451396
Decision Tree,Oversampled,0.4335861787015768,0.48893547933472253,0.4888555703863524
Decision Tree,Undersampled,0.40775433497360314,0.46870233093371155,0.46154603886029505
Random Forest,Raw,0.6628145092735139,0.19865222212744177,0.16881121567121182
Random Forest,Class Weighted,0.9506689667233045,0.3972947429146568,0.37216771986174635
Random Forest,Oversampled,0.9769569785132325,0.4356305296158695,0.41804776608481947
Random Forest,Undersampled,0.74591633,0.4927390826767227,0.488136419
XGBoost,Raw,0.2052274082585487,0.22439040717620873,0.20217685803709068
XGBoost,Class Weighted,0.2052274082585487,0.22439040717620873,0.20217685803709068
XGBoost,Oversampled,0.45770765572272576,0.5103925157616432,0.512004977
XGBoost,Undersampled,0.45221205298400535,0.5043518606029883,0.5016432553497091
LGBM,Raw,0.16973266129335146,0.18817605694938797,0.16607056549057517
LGBM,Class Weighted,0.44895826887125767,0.504554329,0.5073591092808664
LGBM,Oversampled,0.4485969198608078,0.5046113570946781,0.5071255508709006
LGBM,Undersampled,0.43953779406017207,0.49624912021698453,0.49391692113809316
SGD,Raw,0.1622920988190539,0.19644159500669958,0.19744292237442923
SGB,Class Weighted,0.43909608616636675,0.4982558890659317,0.49127595282191244
SGD,Oversampled,0.44025412466741165,0.49862215779231805,0.49487595802999357
SGD,Undersampled,0.42604507009960013,0.4796962869662403,0.4789473684210526
Naive Bayes,Raw,0.4161690464612528,0.4701042614953881,0.45067270149958966
Naive Bayes,Oversampled,0.4241482761633834,0.488803453,0.48047735872593456
Naive Bayes,Undersampled,0.42426038294384394,0.48570194253492094,0.4748870351060132
