model,variant,train_score,val_score,test_score
Logistic Regression,Raw,0.3986911216528095,0.4436188907499666,0.42588547277296385
Logistic Regression,Class Weighted,0.3971520394984757,0.4419786121566829,0.42447293913863055
Logistic Regression,Oversampled,0.39727114903019145,0.4420946497660762,0.42464724079369726
Logistic Regression,Undersampled,0.39768117216273235,0.4425965087696433,0.4249568896600585
Decision Tree,Raw,0.3757046610116134,0.41901484926764465,0.4127113386599682
Decision Tree,Class Weighted,0.3736406526091135,0.416184695,0.4131334332553885
Decision Tree,Oversampled,0.3734941597666664,0.4168088928252219,0.4142439729227968
Decision Tree,Undersampled,0.373784268,0.41716235233756216,0.41275257487734174
Random Forest,Raw,0.9812951469280333,0.45943397067329445,0.4517753355900874
Random Forest,Class Weighted,0.9896933741583069,0.4534310999206536,0.4446291313025125
Random Forest,Oversampled,0.9974060335570941,0.4542626134893785,0.44520575285799646
Random Forest,Undersampled,0.8080891574618533,0.4540095097716558,0.44477052251193455
XGBoost,Raw,0.4325830139973174,0.47456609930492016,0.46539200081239684
XGBoost,Class Weighted,0.4325830139973174,0.47456609930492016,0.46539200081239684
XGBoost,Oversampled,0.4298065132198561,0.47303975669133613,0.46331248683049564
XGBoost,Undersampled,0.42978858383856755,0.47410361746420054,0.4651448775806033
LGBM,Raw,0.41605842223710776,0.46394988203384435,0.45316524023750926
LGBM,Class Weighted,0.4145550109979058,0.4623498641844824,0.4524349423064017
LGBM,Oversampled,0.41437819718582825,0.4622409477692354,0.45288027558510224
LGBM,Undersampled,0.4147240268551734,0.46284881042291703,0.4526638083286059
SGD,Raw,0.3947975566714927,0.4413142538536553,0.41884906885444406
SGB,Class Weighted,0.38886943633637505,0.43643094306448116,0.41982684532087056
SGD,Oversampled,0.39652774771382193,0.44112077356350227,0.42697273084152915
SGD,Undersampled,0.39157184520177996,0.43819688330093826,0.4183272566279794
Naive Bayes,Raw,0.3657781277655794,0.4252969491131244,0.4049568021799207
Naive Bayes,Oversampled,0.3657059009296493,0.4251821783531895,0.404823931
Naive Bayes,Undersampled,0.36573618663430196,0.42547465404626617,0.4051268637414068
