model,variant,train_score,val_score,test_score
Logistic Regression,Raw,0.5598979524511205,0.5434156378600823,0.5020907542202261
Logistic Regression,Class Weighted,0.3344926015368712,0.3728096979411912,0.3636411470665614
Logistic Regression,Oversampled,0.3345115328323184,0.37279083025774895,0.3637295081967213
Logistic Regression,Undersampled,0.39713102409638557,0.4209012319648182,0.40387111127590936
Decision Tree,Raw,0.5834055191189209,0.5729993891264509,0.5189150606709493
Decision Tree,Class Weighted,0.32231406727108936,0.3546062551455556,0.3608425600864164
Decision Tree,Oversampled,0.32673804969624165,0.35484918492127554,0.3613656637742276
Decision Tree,Undersampled,0.39405453003717955,0.41413393026041995,0.4090532105286132
Random Forest,Raw,0.9994802036896728,0.5851256281407036,0.5616613418530352
Random Forest,Class Weighted,0.9394104896656483,0.49332439187953425,0.48698035632708997
Random Forest,Oversampled,0.9744761523778052,0.47656593272469855,0.4725071225071225
Random Forest,Undersampled,0.6485859721199436,0.4254413477910207,0.42904248030147313
XGBoost,Raw,0.6108357323751596,0.6046176046176046,0.583445673
XGBoost,Class Weighted,0.6108357323751596,0.6046176046176046,0.583445673
XGBoost,Oversampled,0.34279571951415877,0.3808386868329202,0.3902901686475592
XGBoost,Undersampled,0.40816477344706725,0.43338944508431526,0.44069464048932805
LGBM,Raw,0.6035095216473919,0.6068309070548712,0.5741978609625669
LGBM,Class Weighted,0.33469230109003517,0.3733384609316452,0.3828624043275594
LGBM,Oversampled,0.33448770412610623,0.37378554326533037,0.38281632535499294
LGBM,Undersampled,0.43953779406017207,0.49624912021698453,0.43243931420811405
SGD,Raw,0.5664253417317896,0.5625607149795998,0.5145168967158495
SGB,Class Weighted,0.3340735,0.38285481077861483,0.37503348513260115
SGD,Oversampled,0.3270651230039851,0.36544370315775365,0.35807584447083196
SGD,Undersampled,0.3889177582909314,0.42201863499445946,0.40737659456461456
Naive Bayes,Raw,0.3494885837154601,0.403833385,0.40247856793852443
Naive Bayes,Oversampled,0.31066957083585617,0.37775535373920843,0.38009868421052634
Naive Bayes,Undersampled,0.32011007517057427,0.38476872087996544,0.38575562927931106
