model,variant,train_score,val_score,test_score
Logistic Regression,Raw,0.11126116086061544,0.1628069454433371,0.18318454062605943
Logistic Regression,Class Weighted,0.6519472232783976,0.7646563238467071,0.780992203
Logistic Regression,Oversampled,0.6522618907142513,0.7658892427822871,0.7822917843824161
Logistic Regression,Undersampled,0.46097905276361045,0.574273092,0.6154367725166685
Decision Tree,Raw,0.041208323,0.038549265385800884,0.041078088
Decision Tree,Class Weighted,0.6583017573302217,0.7877119079420528,0.7550005650355972
Decision Tree,Oversampled,0.6442728341484094,0.7859036268365355,0.7553395863939428
Decision Tree,Undersampled,0.4224410326336353,0.5398335559436968,0.5294948581760651
Random Forest,Raw,0.49580661937914366,0.11963423404911128,0.099333258
Random Forest,Class Weighted,0.9622005742680705,0.33255933422377476,0.3011639733303198
Random Forest,Oversampled,0.9794504682863299,0.401171273,0.3748446152107583
Random Forest,Undersampled,0.8776162193581658,0.5853282646665982,0.5661091648773873
XGBoost,Raw,0.6108357323751596,0.6046176046176046,0.583445673
XGBoost,Class Weighted,0.6108357323751596,0.6046176046176046,0.583445673
XGBoost,Oversampled,0.34279571951415877,0.3808386868329202,0.3902901686475592
XGBoost,Undersampled,0.40816477344706725,0.43338944508431526,0.44069464048932805
LGBM,Raw,0.09875313,0.11135312853179903,0.097073116
LGBM,Class Weighted,0.6816920367286824,0.7779923969998973,0.7518363656910385
LGBM,Oversampled,0.6808747754716734,0.7763279564368643,0.7509888122951746
LGBM,Undersampled,0.4865894857372614,0.594020343,0.5757712735902362
SGD,Raw,0.094714898,0.11899722593239495,0.1221606961238558
SGB,Class Weighted,0.6404268988213082,0.7132436042330217,0.7119448525257092
SGD,Oversampled,0.6732484605332739,0.7845268673584712,0.8008249519719742
SGD,Undersampled,0.4710090772814482,0.5556354669680469,0.5810261046445926
Naive Bayes,Raw,0.5142933312355504,0.5623959724648104,0.5119787546615436
Naive Bayes,Oversampled,0.6682356334648818,0.6923250796260146,0.6528986326138547
Naive Bayes,Undersampled,0.6288672409347371,0.658419809,0.6175839077861905
